제품코드,제품명,제품명(짧은),보관창고,생산일자,보관상태,재고,유통기한(%),대분류,중분류
19,"Соломка с шоколадом ""Пеперо Классический""(Pepero Original),4",ПепероОригинал конд,LProduct,23022026,Good,1536,25.75,Chocolate,Pepero
2154,ПЕЧЕНЬЕ ПРОСЛОЕННОЕ ГЛАЗИРОВАННОЕ «ЛОТТЕ ЧОКОПАЙ» «LOTTE CHO,ЛОТТЕ ЧОКОПАЙ СО ВКУСОМ СЫРА 12шт,LProduct,21082026,Good,1372,74.79,PIE,Chocopie
2156,ПЕЧЕНЬЕ ПРОСЛОЕННОЕ ГЛАЗИРОВАННОЕ «ЛОТТЕ ЧОКОПАЙ» «LOTTE CHO,ЛОТТЕ ЧОКОПАЙ СО ВКУСОМ СЫРА 12 шт БЫК,LProduct,29042026,Good,1255,43.56,PIE,Chocopie
1673,Печенье прослоенное глазированное «ЛОТТЕ ЧОКЛЭТ ПАЙ»(LOTTE C,ЧокоЛЭТПАЙ 12 шт Печеньепрослоенноеглазированное пачка336г,LProduct,11112026,Good,1224,97.26,PIE,Chocopie
2140,"Мучное кондитерское изделие в глазури ""ЛОТТЕ ЧОКЛЭТ ПАЙ"" (L","Мучное кондитерское изделие в глазури ""ЛОТТЕ ЧОКЛЭТ ПАЙ"" 1",LProduct,16112026,Good,1108,98.63,PIE,Chocopie
2142,Пирожное глазированное с кремовой прослойкой «AMANTE» со вку,AMANTE 6 шт,LProduct,18102026,Good,1079,90.68,PIE,Amante
113,"Печенье прослоенное глазированное ""ЛОТТЕ ЧОКОПАЙ"" (Lotte Cho",ЧокоПай6(печеньепрослоенноеглазированное)пачка168г,LProduct,8062026,Good,1044,54.52,PIE,Chocopie
27,"Напиток безалкогольный газированный ""Милкис"" (""Milkis""), 250","""Милкис"" (""Milkis""), 250мл",LProduct,13072027,Good,1008,83.19,Beverage,Milkis
19,"Соломка с шоколадом ""Пеперо Классический""(Pepero Original),4",ПепероОригинал конд,LProduct,16032026,Good,987,31.51,Chocolate,Pepero
30,"Напиток безалкогольный газированный ""Милкис персик"" (""Milkis","""Милкис персик"" (""Milkis Peach""),250мл",LProduct,17072027,Good,959,83.75,Beverage,Milkis
